Geneid	S1	S2	S3	S4	S5	S6	S7	S8
ENSG00000274764.6	0	0	1	0	0	0	0	0
ENSG00000277058.3	5	0	0	1	0	0	0	0
ENSG00000229571.7	0	0	0	0	0	0	0	0
ENSG00000277862.1	0	0	0	0	0	0	0	0
ENSG00000236179.1	0	0	2	0	0	0	0	0
ENSG00000275774.3	11	3	6	3	0	1	3	1
ENSG00000229978.1	0	0	0	0	0	0	0	0
ENSG00000233336.1	0	0	0	0	0	0	0	0
ENSG00000280267.5	0	0	0	0	0	0	0	0
ENSG00000179412.11	0	0	0	0	0	0	0	0
ENSG00000204505.5	0	0	0	0	0	0	0	0
ENSG00000279169.3	0	0	0	0	0	0	0	0
ENSG00000279804.2	0	0	0	0	0	0	0	0
ENSG00000250894.1	0	0	4	1	0	0	0	0
ENSG00000270601.4	0	0	0	0	0	0	0	0
ENSG00000231219.1	0	0	0	0	0	0	0	0
ENSG00000207511.1	0	0	0	0	0	0	0	0
ENSG00000182330.10	0	0	0	0	0	0	0	0
ENSG00000237700.2	0	0	0	0	0	0	0	0
ENSG00000204501.7	0	0	0	0	0	0	0	0
ENSG00000228229.2	0	0	0	0	0	0	0	0
ENSG00000204481.8	0	0	0	2	0	0	0	0
ENSG00000204480.8	0	0	0	6	0	0	0	0
ENSG00000204479.4	4	0	0	0	0	0	0	0
ENSG00000204478.10	0	0	0	0	0	0	0	0
ENSG00000162494.6	0	0	0	0	0	0	0	0
ENSG00000259961.1	0	0	0	0	0	0	0	0
ENSG00000215909.3	0	5	0	0	0	0	0	0
ENSG00000162493.17	148	136	455	309	33	38	136	133
ENSG00000222952.1	0	0	0	0	0	0	0	0
ENSG00000237445.2	0	0	2	0	0	0	0	0
ENSG00000253085.1	0	0	0	0	0	0	0	0
ENSG00000116731.23	212	203	432	200	138	122	260	274
ENSG00000289380.1	0	0	0	2	0	0	0	0
ENSG00000189337.17	39	42	54	38	16	2	60	58
ENSG00000252151.1	0	0	0	0	0	0	0	0
ENSG00000231606.2	1	7	11	2	6	3	7	0
ENSG00000234593.3	0	6	4	2	0	0	0	0
ENSG00000235829.1	1	0	0	0	0	0	0	0
ENSG00000287756.1	0	0	0	2	0	0	0	0
ENSG00000175147.13	16	19	15	15	18	36	0	2
ENSG00000171729.14	70	44	34	33	23	31	49	39
ENSG00000204464.7	0	0	0	0	0	1	1	0
ENSG00000215720.4	0	0	0	3	0	0	0	0
ENSG00000278480.1	0	0	0	6	0	0	0	0
ENSG00000142621.21	26	24	28	30	12	7	55	48
ENSG00000233485.1	6	0	0	2	5	0	0	4
ENSG00000236045.1	0	0	0	0	0	0	7	0
ENSG00000228140.2	1	8	3	0	0	0	4	0
ENSG00000142634.13	179	211	374	232	101	77	500	492
